GEO.id,GEO.id2,GEO.display-label,respop72018
0500000US13001,13001,"Appling County, Georgia",18507
0500000US13003,13003,"Atkinson County, Georgia",8297
0500000US13005,13005,"Bacon County, Georgia",11185
0500000US13007,13007,"Baker County, Georgia",3092
0500000US13009,13009,"Baldwin County, Georgia",44823
0500000US13011,13011,"Banks County, Georgia",18988
0500000US13013,13013,"Barrow County, Georgia",80809
0500000US13015,13015,"Bartow County, Georgia",106408
0500000US13017,13017,"Ben Hill County, Georgia",16787
0500000US13019,13019,"Berrien County, Georgia",19252
0500000US13021,13021,"Bibb County, Georgia",153095
0500000US13023,13023,"Bleckley County, Georgia",12838
0500000US13025,13025,"Brantley County, Georgia",18897
0500000US13027,13027,"Brooks County, Georgia",15513
0500000US13029,13029,"Bryan County, Georgia",38109
0500000US13031,13031,"Bulloch County, Georgia",77296
0500000US13033,13033,"Burke County, Georgia",22423
0500000US13035,13035,"Butts County, Georgia",24193
0500000US13037,13037,"Calhoun County, Georgia",6352
0500000US13039,13039,"Camden County, Georgia",53677
0500000US13043,13043,"Candler County, Georgia",10836
0500000US13045,13045,"Carroll County, Georgia",118121
0500000US13047,13047,"Catoosa County, Georgia",67420
0500000US13049,13049,"Charlton County, Georgia",12968
0500000US13051,13051,"Chatham County, Georgia",289195
0500000US13053,13053,"Chattahoochee County, Georgia",10684
0500000US13055,13055,"Chattooga County, Georgia",24790
0500000US13057,13057,"Cherokee County, Georgia",254149
0500000US13059,13059,"Clarke County, Georgia",127330
0500000US13061,13061,"Clay County, Georgia",2887
0500000US13063,13063,"Clayton County, Georgia",289615
0500000US13065,13065,"Clinch County, Georgia",6648
0500000US13067,13067,"Cobb County, Georgia",756865
0500000US13069,13069,"Coffee County, Georgia",43093
0500000US13071,13071,"Colquitt County, Georgia",45592
0500000US13073,13073,"Columbia County, Georgia",154291
0500000US13075,13075,"Cook County, Georgia",17162
0500000US13077,13077,"Coweta County, Georgia",145864
0500000US13079,13079,"Crawford County, Georgia",12318
0500000US13081,13081,"Crisp County, Georgia",22601
0500000US13083,13083,"Dade County, Georgia",16226
0500000US13085,13085,"Dawson County, Georgia",25083
0500000US13087,13087,"Decatur County, Georgia",26575
0500000US13089,13089,"DeKalb County, Georgia",756558
0500000US13091,13091,"Dodge County, Georgia",20705
0500000US13093,13093,"Dooly County, Georgia",13706
0500000US13095,13095,"Dougherty County, Georgia",91243
0500000US13097,13097,"Douglas County, Georgia",145331
0500000US13099,13099,"Early County, Georgia",10247
0500000US13101,13101,"Echols County, Georgia",4000
0500000US13103,13103,"Effingham County, Georgia",62190
0500000US13105,13105,"Elbert County, Georgia",19120
0500000US13107,13107,"Emanuel County, Georgia",22612
0500000US13109,13109,"Evans County, Georgia",10721
0500000US13111,13111,"Fannin County, Georgia",25964
0500000US13113,13113,"Fayette County, Georgia",113459
0500000US13115,13115,"Floyd County, Georgia",97927
0500000US13117,13117,"Forsyth County, Georgia",236612
0500000US13119,13119,"Franklin County, Georgia",23023
0500000US13121,13121,"Fulton County, Georgia",1050114
0500000US13123,13123,"Gilmer County, Georgia",30816
0500000US13125,13125,"Glascock County, Georgia",2995
0500000US13127,13127,"Glynn County, Georgia",85219
0500000US13129,13129,"Gordon County, Georgia",57685
0500000US13131,13131,"Grady County, Georgia",24748
0500000US13133,13133,"Greene County, Georgia",17698
0500000US13135,13135,"Gwinnett County, Georgia",927781
0500000US13137,13137,"Habersham County, Georgia",45388
0500000US13139,13139,"Hall County, Georgia",202148
0500000US13141,13141,"Hancock County, Georgia",8348
0500000US13143,13143,"Haralson County, Georgia",29533
0500000US13145,13145,"Harris County, Georgia",34475
0500000US13147,13147,"Hart County, Georgia",26099
0500000US13149,13149,"Heard County, Georgia",11879
0500000US13151,13151,"Henry County, Georgia",230220
0500000US13153,13153,"Houston County, Georgia",155469
0500000US13155,13155,"Irwin County, Georgia",9398
0500000US13157,13157,"Jackson County, Georgia",70422
0500000US13159,13159,"Jasper County, Georgia",14040
0500000US13161,13161,"Jeff Davis County, Georgia",15029
0500000US13163,13163,"Jefferson County, Georgia",15430
0500000US13165,13165,"Jenkins County, Georgia",8683
0500000US13167,13167,"Johnson County, Georgia",9708
0500000US13169,13169,"Jones County, Georgia",28616
0500000US13171,13171,"Lamar County, Georgia",19000
0500000US13173,13173,"Lanier County, Georgia",10340
0500000US13175,13175,"Laurens County, Georgia",47325
0500000US13177,13177,"Lee County, Georgia",29764
0500000US13179,13179,"Liberty County, Georgia",61497
0500000US13181,13181,"Lincoln County, Georgia",7915
0500000US13183,13183,"Long County, Georgia",18998
0500000US13185,13185,"Lowndes County, Georgia",116321
0500000US13187,13187,"Lumpkin County, Georgia",32955
0500000US13189,13189,"McDuffie County, Georgia",21531
0500000US13191,13191,"McIntosh County, Georgia",14340
0500000US13193,13193,"Macon County, Georgia",13143
0500000US13195,13195,"Madison County, Georgia",29650
0500000US13197,13197,"Marion County, Georgia",8351
0500000US13199,13199,"Meriwether County, Georgia",21068
0500000US13201,13201,"Miller County, Georgia",5686
0500000US13205,13205,"Mitchell County, Georgia",22192
0500000US13207,13207,"Monroe County, Georgia",27520
0500000US13209,13209,"Montgomery County, Georgia",9193
0500000US13211,13211,"Morgan County, Georgia",18853
0500000US13213,13213,"Murray County, Georgia",39921
0500000US13215,13215,"Muscogee County, Georgia",194160
0500000US13217,13217,"Newton County, Georgia",109541
0500000US13219,13219,"Oconee County, Georgia",39272
0500000US13221,13221,"Oglethorpe County, Georgia",15054
0500000US13223,13223,"Paulding County, Georgia",164044
0500000US13225,13225,"Peach County, Georgia",27297
0500000US13227,13227,"Pickens County, Georgia",31980
0500000US13229,13229,"Pierce County, Georgia",19389
0500000US13231,13231,"Pike County, Georgia",18634
0500000US13233,13233,"Polk County, Georgia",42470
0500000US13235,13235,"Pulaski County, Georgia",11069
0500000US13237,13237,"Putnam County, Georgia",21809
0500000US13239,13239,"Quitman County, Georgia",2279
0500000US13241,13241,"Rabun County, Georgia",16867
0500000US13243,13243,"Randolph County, Georgia",6833
0500000US13245,13245,"Richmond County, Georgia",201554
0500000US13247,13247,"Rockdale County, Georgia",90594
0500000US13249,13249,"Schley County, Georgia",5236
0500000US13251,13251,"Screven County, Georgia",13938
0500000US13253,13253,"Seminole County, Georgia",8315
0500000US13255,13255,"Spalding County, Georgia",66100
0500000US13257,13257,"Stephens County, Georgia",26035
0500000US13259,13259,"Stewart County, Georgia",6199
0500000US13261,13261,"Sumter County, Georgia",29733
0500000US13263,13263,"Talbot County, Georgia",6272
0500000US13265,13265,"Taliaferro County, Georgia",1608
0500000US13267,13267,"Tattnall County, Georgia",25391
0500000US13269,13269,"Taylor County, Georgia",8039
0500000US13271,13271,"Telfair County, Georgia",15876
0500000US13273,13273,"Terrell County, Georgia",8611
0500000US13275,13275,"Thomas County, Georgia",44448
0500000US13277,13277,"Tift County, Georgia",40571
0500000US13279,13279,"Toombs County, Georgia",26887
0500000US13281,13281,"Towns County, Georgia",11852
0500000US13283,13283,"Treutlen County, Georgia",6809
0500000US13285,13285,"Troup County, Georgia",70034
0500000US13287,13287,"Turner County, Georgia",7912
0500000US13289,13289,"Twiggs County, Georgia",8188
0500000US13291,13291,"Union County, Georgia",24001
0500000US13293,13293,"Upson County, Georgia",26215
0500000US13295,13295,"Walker County, Georgia",69410
0500000US13297,13297,"Walton County, Georgia",93503
0500000US13299,13299,"Ware County, Georgia",35680
0500000US13301,13301,"Warren County, Georgia",5251
0500000US13303,13303,"Washington County, Georgia",20386
0500000US13305,13305,"Wayne County, Georgia",29808
0500000US13307,13307,"Webster County, Georgia",2611
0500000US13309,13309,"Wheeler County, Georgia",7879
0500000US13311,13311,"White County, Georgia",29970
0500000US13313,13313,"Whitfield County, Georgia",104062
0500000US13315,13315,"Wilcox County, Georgia",8812
0500000US13317,13317,"Wilkes County, Georgia",9876
0500000US13319,13319,"Wilkinson County, Georgia",9036
0500000US13321,13321,"Worth County, Georgia",20299
0500000US15001,15001,"Hawaii County, Hawaii",200983
0500000US15003,15003,"Honolulu County, Hawaii",980080
0500000US15005,15005,"Kalawao County, Hawaii",88
0500000US15007,15007,"Kauai County, Hawaii",72133
0500000US15009,15009,"Maui County, Hawaii",167207
0500000US16001,16001,"Ada County, Idaho",469966
